name,communityId
"""Not an EPA Food Commodity""",0
"""Beet, garden, roots""",1
"""Beet, garden, roots-babyfood""",2
"""Beet, sugar, molasses-babyfood""",6
"""Burdock""",7
"""Carrot-babyfood""",9
"""Carrot, juice""",10
"""Celeriac""",11
"""Chicory, roots""",12
"""Ginseng, dried""",13
"""Horseradish""",14
"""Parsley, turnip rooted""",15
"""Parsnip""",16
"""Parsnip-babyfood""",17
"""Radish, roots""",18
"""Radish, Oriental, roots""",19
"""Rutabaga""",20
"""Salsify, roots""",21
"""Turnip, roots""",22
"""Arrowroot, flour""",23
"""Arrowroot, flour-babyfood""",24
"""Artichoke, Jerusalem""",25
"""Dasheen, corm""",28
"""Ginger""",29
"""Ginger-babyfood""",30
"""Potato, chips""",32
"""Potato, dry (granules/ flakes)""",33
"""Potato, dry (granules/ flakes)-babyfood""",34
"""Potato, tuber, w/peel""",37
"""Potato, tuber, w/peel-babyfood""",38
"""Potato, tuber, w/o peel""",39
"""Potato, tuber, w/o peel-babyfood""",40
"""Sweet potato""",41
"""Sweet potato-babyfood""",42
"""Tanier, corm""",43
"""Yam, true""",45
"""Yam bean""",46
"""Beet, garden, tops""",47
"""Chicory, tops""",48
"""Dasheen, leaves""",49
"""Radish, Oriental, tops""",50
"""Salsify, tops""",51
"""Garlic, bulb""",52
"""Garlic, bulb-babyfood""",53
"""Onion, bulb""",54
"""Onion, bulb-babyfood""",55
"""Onion, bulb, dried-babyfood""",57
"""Shallot, bulb""",58
"""Leek""",60
"""Onion, green""",61
"""Shallot, fresh leaves""",62
"""Amaranth, leafy""",63
"""Chrysanthemum, garland""",64
"""Cilantro, leaves""",65
"""Cilantro, leaves-babyfood""",66
"""Dandelion, leaves""",67
"""Dillweed""",68
"""Endive""",69
"""Lettuce, head""",70
"""Lettuce, leaf""",71
"""Parsley, leaves""",72
"""Radicchio""",73
"""Spinach-babyfood""",75
"""Swiss chard""",76
"""Arugula""",77
"""Broccoli, Chinese""",78
"""Broccoli raab""",79
"""Cabbage, Chinese, bok choy""",80
"""Collards""",81
"""Cress, garden""",82
"""Cress, upland""",83
"""Kale""",84
"""Mustard greens""",85
"""Radish, tops""",86
"""Rape greens""",87
"""Turnip, greens""",88
"""Watercress""",89
"""Broccoli""",90
"""Broccoli-babyfood""",91
"""Brussels sprouts""",92
"""Cabbage""",93
"""Cabbage, Chinese, napa""",94
"""Cabbage, Chinese, mustard""",95
"""Cauliflower""",96
"""Soybean, seed""",97
"""Soybean, soy milk-babyfood or infant formula""",101
"""Bean, snap, succulent-babyfood""",105
"""Pea, edible podded, succulent""",106
"""Soybean, vegetable""",107
"""Bean, broad, succulent""",108
"""Bean, cowpea, succulent""",109
"""Bean, lima, succulent""",110
"""Pea, succulent""",111
"""Pea, succulent-babyfood""",112
"""Pea, pigeon, succulent""",113
"""Bean, black, seed""",114
"""Bean, broad, seed""",115
"""Bean, cowpea, seed""",116
"""Bean,  great northern, seed""",117
"""Bean, kidney, seed""",118
"""Bean, lima, seed""",119
"""Bean, mung, seed""",120
"""Bean, navy, seed""",121
"""Bean, pink, seed""",122
"""Bean, pinto, seed""",123
"""Chickpea, seed""",124
"""Chickpea, seed-babyfood""",125
"""Chickpea, flour""",126
"""Guar, seed-babyfood""",128
"""Lentil, seed""",129
"""Pea, dry""",130
"""Pea, dry-babyfood""",131
"""Pea, pigeon, seed""",132
"""Goji berry""",133
"""Tomatillo""",134
"""Tomato""",135
"""Tomato-babyfood""",136
"""Tomato, paste""",137
"""Tomato, paste-babyfood""",138
"""Tomato, puree""",139
"""Tomato, puree-babyfood""",140
"""Tomato, dried""",141
"""Tomato, dried-babyfood""",142
"""Tomato, juice""",143
"""Tree Tomato""",144
"""Eggplant""",145
"""Okra""",146
"""Pepper, bell""",147
"""Pepper, bell-babyfood""",148
"""Pepper, bell, dried-babyfood""",150
"""Pepper, nonbell""",151
"""Pepper, nonbell-babyfood""",152
"""Cantaloupe""",154
"""Honeydew melon""",155
"""Watermelon""",156
"""Watermelon, juice""",157
"""Balsam pear""",158
"""Chayote, fruit""",159
"""Chinese waxgourd""",160
"""Cucumber""",161
"""Pumpkin, seed""",163
"""Squash, summer""",164
"""Squash, summer-babyfood""",165
"""Squash, winter""",166
"""Squash, winter-babyfood""",167
"""Citron""",168
"""Citrus hybrids""",169
"""Citrus, oil""",170
"""Orange""",171
"""Orange, juice-babyfood""",173
"""Orange, peel""",174
"""Tangerine""",175
"""Kumquat""",177
"""Lemon, juice-babyfood""",180
"""Lemon, peel""",181
"""Lime""",182
"""Lime, juice-babyfood""",184
"""Grapefruit""",185
"""Pummelo""",187
"""Apple, fruit with peel""",188
"""Apple, peeled fruit-babyfood""",190
"""Apple, dried""",191
"""Apple, dried-babyfood""",192
"""Apple, juice-babyfood""",194
"""Apple, sauce""",195
"""Apple, sauce-babyfood""",196
"""Crabapple""",197
"""Loquat""",198
"""Pear""",199
"""Pear-babyfood""",200
"""Pear, dried""",201
"""Pear, juice-babyfood""",203
"""Quince""",204
"""Cherry-babyfood""",206
"""Cherry, juice-babyfood""",208
"""Apricot""",209
"""Apricot-babyfood""",210
"""Apricot, dried""",211
"""Apricot, juice-babyfood""",213
"""Nectarine""",214
"""Peach-babyfood""",216
"""Peach, dried""",217
"""Peach, dried-babyfood""",218
"""Peach, juice""",219
"""Peach, juice-babyfood""",220
"""Plum""",221
"""Plum-babyfood""",222
"""Plum, prune, fresh""",223
"""Plum, prune, fresh-babyfood""",224
"""Plum, prune, dried""",225
"""Plum, prune, dried-babyfood""",226
"""Plum, prune, juice""",227
"""Plum, prune, juice-babyfood""",228
"""Blackberry, juice""",230
"""Blackberry, juice-babyfood""",231
"""Loganberry""",233
"""Raspberry-babyfood""",235
"""Raspberry, juice-babyfood""",237
"""Blueberry-babyfood""",239
"""Currant""",240
"""Currant, dried""",241
"""Elderberry""",242
"""Gooseberry""",243
"""Huckleberry""",244
"""Mulberry""",245
"""Grape""",246
"""Grape, juice-babyfood""",248
"""Grape, wine and sherry""",250
"""Kiwifruit, fuzzy""",251
"""Cranberry""",252
"""Cranberry-babyfood""",253
"""Cranberry, dried""",254
"""Cranberry, juice-babyfood""",256
"""Strawberry-babyfood""",258
"""Strawberry, juice-babyfood""",260
"""Almond-babyfood""",262
"""Almond, oil""",263
"""Almond, oil-babyfood""",264
"""Brazil nut""",265
"""Butternut""",266
"""Chestnut""",268
"""Coconut, meat""",269
"""Coconut, meat-babyfood""",270
"""Hazelnut, oil""",276
"""Hickory nut""",277
"""Macadamia nut""",278
"""Pine nut""",280
"""Walnut""",282
"""Barley, pearled barley""",283
"""Barley, pearled barley-babyfood""",284
"""Barley, flour-babyfood""",286
"""Barley, bran""",287
"""Buckwheat""",288
"""Buckwheat, flour""",289
"""Corn, field, flour-babyfood""",291
"""Corn, field, meal-babyfood""",293
"""Corn, pop""",301
"""Corn, sweet-babyfood""",303
"""Millet, grain""",304
"""Oat, flour""",306
"""Oat, flour-babyfood""",307
"""Oat, groats/rolled oats""",308
"""Rice, white-babyfood""",311
"""Almond""",312
"""Coconut, milk""",312
"""Pistachio""",312
"""Barley, flour""",312
"""Corn, field, meal""",312
