name,combinations
"""Milk, water""",105.0
"""Milk, nonfat solids""",105.0
"""Milk, fat""",105.0
"""Sugarcane, sugar""",101.0
"""Beet, sugar""",101.0
"""Corn, field, syrup""",97.0
"""Spices, other""",89.0
"""Strawberry""",75.0
"""Raspberry""",74.0
"""Peach""",74.0
"""Cherry""",74.0
"""Blueberry""",74.0
"""Banana""",74.0
"""Soybean, oil""",72.0
"""Wheat, flour""",71.0
"""Corn, field, starch""",63.0
"""Coconut, oil""",63.0
"""Water, indirect, all sources""",60.0
"""Pork, meat byproducts""",57.0
"""Egg, yolk""",57.0
"""Cassava""",57.0
"""Beef, meat byproducts""",57.0
"""Potato, flour""",54.0
"""Rice, flour""",53.0
"""Cottonseed, oil""",51.0
"""Cocoa bean, chocolate""",51.0
"""Soybean, flour""",49.0
"""Cocoa bean, powder""",48.0
"""Barley, flour""",44.0
"""Almond""",43.0
"""Peanut""",41.0
"""Seaweed""",40.0
"""Rice, white""",39.0
"""Orange, juice""",39.0
"""Corn, field, oil""",39.0
"""Rapeseed, oil""",37.0
"""Palm, oil""",37.0
"""Sugarcane, molasses""",36.0
"""Beet, sugar, molasses""",36.0
"""Sunflower, oil""",35.0
"""Safflower, oil""",35.0
"""Egg, white""",35.0
"""Corn, field, flour""",35.0
"""Tangerine, juice""",33.0
"""Strawberry, juice""",33.0
"""Raspberry, juice""",33.0
"""Pineapple, juice""",33.0
"""Pear, juice""",33.0
"""Passionfruit, juice""",33.0
"""Mango, juice""",33.0
"""Lime, juice""",33.0
"""Lemon, juice""",33.0
"""Grapefruit, juice""",33.0
"""Grape, juice""",33.0
"""Cranberry, juice""",33.0
"""Cherry, juice""",33.0
"""Boysenberry""",33.0
"""Blackberry""",33.0
"""Apricot, juice""",33.0
"""Apple, juice""",33.0
"""Egg, whole""",31.0
"""Coffee, roasted bean""",30.0
"""Coffee, instant""",29.0
"""Onion, bulb, dried""",28.0
"""Maple, sugar""",28.0
"""Lemon""",28.0
"""Corn, sweet""",27.0
"""Water chestnut""",26.0
"""Vinegar""",26.0
"""Turmeric""",26.0
"""Spinach""",26.0
"""Pepper, nonbell, dried""",26.0
"""Pepper, bell, dried""",26.0
"""Parsley, dried leaves""",26.0
"""Grape, raisin""",26.0
"""Celery""",26.0
"""Carrot""",26.0
"""Bean, snap, succulent""",26.0
"""Wheat, grain""",25.0
"""Peanut, butter""",25.0
"""Honey""",25.0
"""Guar, seed""",25.0
"""Corn, field, meal""",23.0
"""Cinnamon""",23.0
"""Pecan""",20.0
"""Peanut, oil""",20.0
"""Hazelnut""",20.0
"""Cashew""",20.0
"""Pork, fat""",19.0
"""Corn, field, bran""",19.0
