name,g.Crop_Group_Description,communityId
"""Beet, sugar, molasses-babyfood""","""Root Vegetables""",6
"""Potato, chips""","""Tuberous and Corm Vegetables""",32
"""Potato, dry (granules/ flakes)""","""Tuberous and Corm Vegetables""",33
"""Potato, dry (granules/ flakes)-babyfood""","""Tuberous and Corm Vegetables""",34
"""Potato, tuber, w/peel""","""Tuberous and Corm Vegetables""",37
"""Potato, tuber, w/peel-babyfood""","""Tuberous and Corm Vegetables""",38
"""Potato, tuber, w/o peel""","""Tuberous and Corm Vegetables""",39
"""Potato, tuber, w/o peel-babyfood""","""Tuberous and Corm Vegetables""",40
"""Beet, garden, tops""","""Leaves of Root and Tuber Vegetables""",47
"""Chicory, tops""","""Leaves of Root and Tuber Vegetables""",48
"""Dasheen, leaves""","""Leaves of Root and Tuber Vegetables""",49
"""Radish, Oriental, tops""","""Leaves of Root and Tuber Vegetables""",50
"""Salsify, tops""","""Leaves of Root and Tuber Vegetables""",51
"""Garlic, bulb""","""Garlic/Onion""",52
"""Garlic, bulb-babyfood""","""Garlic/Onion""",53
"""Onion, bulb""","""Garlic/Onion""",54
"""Onion, bulb-babyfood""","""Garlic/Onion""",55
"""Onion, bulb, dried-babyfood""","""Garlic/Onion""",57
"""Shallot, bulb""","""Garlic/Onion""",58
"""Leek""","""Other Bulb Vegetables""",60
"""Onion, green""","""Other Bulb Vegetables""",61
"""Shallot, fresh leaves""","""Other Bulb Vegetables""",62
"""Amaranth, leafy""","""Leafy Greens""",63
"""Chrysanthemum, garland""","""Leafy Greens""",64
"""Cilantro, leaves""","""Leafy Greens""",65
"""Cilantro, leaves-babyfood""","""Leafy Greens""",66
"""Dandelion, leaves""","""Leafy Greens""",67
"""Dillweed""","""Leafy Greens""",68
"""Endive""","""Leafy Greens""",69
"""Lettuce, head""","""Leafy Greens""",70
"""Lettuce, leaf""","""Leafy Greens""",71
"""Parsley, leaves""","""Leafy Greens""",72
"""Radicchio""","""Leafy Greens""",73
"""Spinach-babyfood""","""Leafy Greens""",75
"""Swiss chard""","""Leafy Greens""",76
"""Arugula""","""Brassica Leafy Greens""",77
"""Broccoli, Chinese""","""Brassica Leafy Greens""",78
"""Broccoli raab""","""Brassica Leafy Greens""",79
"""Cabbage, Chinese, bok choy""","""Brassica Leafy Greens""",80
"""Collards""","""Brassica Leafy Greens""",81
"""Cress, garden""","""Brassica Leafy Greens""",82
"""Cress, upland""","""Brassica Leafy Greens""",83
